user_id,archetype,favorite_categories,signup_day,trust_score
1,flipper,pet-meme,140,82.5
2,casual-collector,pet-meme|reaction,346,72.9
3,flipper,stonks-finance,216,84.7
4,casual-collector,animal,119,97.8
5,meme-creator,surreal,101,71.5
6,flipper,animal|deep-fried|stonks-finance|political-satire,3,71.5
7,lurker-buyer,pet-meme|anime,174,98.7
8,casual-collector,history-meme|gaming,52,86.5
9,casual-collector,gaming,176,68.0
10,flipper,pet-meme,235,83.1
11,meme-creator,reaction|surreal|political-satire|programmer-humor,316,68.0
12,lurker-buyer,stonks-finance|animal|pet-meme,35,68.0
13,casual-collector,history-meme|political-satire,40,78.6
14,lurker-buyer,anime,142,46.3
15,power-trader,wojak|gaming|sports,107,49.1
16,flipper,stonks-finance,325,66.6
17,casual-collector,wojak|deep-fried,194,59.8
18,casual-collector,programmer-humor|gaming,28,79.7
19,casual-collector,history-meme,161,61.4
20,power-trader,animal,290,53.8
21,lurker-buyer,animal|programmer-humor|deep-fried,202,97.0
22,lurker-buyer,wojak|political-satire|movie-tv|animal,287,71.6
23,meme-creator,movie-tv|stonks-finance|anime|gaming,112,76.0
24,lurker-buyer,surreal|deep-fried,46,53.6
25,lurker-buyer,wojak,321,66.8
26,casual-collector,stonks-finance|reaction|anime|history-meme,305,76.7
27,lurker-buyer,surreal|sports|classic-format,348,57.7
28,flipper,history-meme|programmer-humor|gaming,57,80.6
29,casual-collector,deep-fried|classic-format,134,66.0
30,lurker-buyer,surreal|reaction,320,70.6
31,casual-collector,wojak|gaming,82,66.0
32,meme-creator,stonks-finance,165,100.0
33,power-trader,movie-tv,185,74.8
34,lurker-buyer,animal|classic-format|movie-tv,290,59.1
35,lurker-buyer,pet-meme,248,87.3
36,lurker-buyer,wojak|programmer-humor,243,56.7
37,lurker-buyer,political-satire|surreal,310,78.1
38,power-trader,movie-tv|surreal,353,45.6
39,casual-collector,anime|programmer-humor|sports,191,55.1
40,power-trader,reaction|animal|sports|movie-tv,173,78.0
41,casual-collector,stonks-finance|animal,3,86.1
42,casual-collector,animal,34,77.6
43,lurker-buyer,reaction|surreal|animal,142,73.3
44,flipper,surreal|wojak,292,70.5
45,meme-creator,history-meme|deep-fried,208,52.8
46,casual-collector,programmer-humor,220,64.2
47,power-trader,deep-fried|sports|pet-meme|classic-format,344,68.1
48,flipper,classic-format,206,90.9
49,flipper,animal,98,80.2
50,casual-collector,wojak|anime|movie-tv|political-satire,236,48.6
51,casual-collector,deep-fried,281,79.9
52,casual-collector,reaction,121,69.2
53,casual-collector,deep-fried|animal|anime|classic-format,84,64.8
54,power-trader,political-satire|history-meme|sports|deep-fried,146,84.2
55,power-trader,wojak|animal|political-satire|sports,29,90.5
56,meme-creator,pet-meme,160,89.0
57,casual-collector,surreal|sports|movie-tv|wojak,29,62.4
58,lurker-buyer,sports,95,70.4
59,casual-collector,programmer-humor,120,80.0
60,power-trader,stonks-finance|movie-tv,20,89.6
61,flipper,programmer-humor|stonks-finance|sports|surreal,161,67.8
62,lurker-buyer,programmer-humor|pet-meme,160,72.2
63,casual-collector,wojak|programmer-humor|sports|political-satire,234,58.4
64,casual-collector,classic-format,234,57.1
65,flipper,reaction,275,87.2
66,casual-collector,wojak|gaming|reaction,125,95.3
67,power-trader,deep-fried|sports,278,73.9
68,flipper,programmer-humor,283,90.1
69,casual-collector,movie-tv,68,80.4
70,casual-collector,pet-meme,283,65.3
71,casual-collector,stonks-finance|animal|pet-meme,175,80.4
72,casual-collector,surreal|deep-fried|political-satire,26,98.1
73,casual-collector,sports|political-satire|classic-format|history-meme,170,74.5
74,lurker-buyer,wojak|pet-meme|deep-fried,282,98.5
75,flipper,reaction,38,35.7
76,lurker-buyer,surreal|classic-format,189,87.3
77,meme-creator,anime|wojak,21,76.3
78,casual-collector,movie-tv,183,70.5
79,casual-collector,programmer-humor|reaction,181,76.4
80,lurker-buyer,stonks-finance|pet-meme|wojak|animal,83,45.2
81,lurker-buyer,movie-tv|anime,12,71.7
82,casual-collector,history-meme|anime|movie-tv,342,80.4
83,lurker-buyer,political-satire|wojak,359,97.2
84,casual-collector,sports,240,67.2
85,casual-collector,gaming|political-satire|history-meme|animal,114,62.9
86,casual-collector,anime|gaming,142,67.5
87,lurker-buyer,gaming|programmer-humor|surreal,204,88.7
88,flipper,classic-format|reaction|political-satire,91,79.9
89,meme-creator,classic-format|reaction|stonks-finance,222,67.1
90,casual-collector,anime|stonks-finance|surreal,59,82.7
91,power-trader,political-satire|classic-format,362,76.5
92,power-trader,gaming|anime,35,89.5
93,lurker-buyer,stonks-finance|gaming|programmer-humor,63,64.5
94,flipper,surreal|political-satire|programmer-humor,209,70.1
95,casual-collector,surreal|wojak|animal,215,69.1
96,flipper,programmer-humor|pet-meme|wojak|stonks-finance,291,53.0
97,casual-collector,political-satire,146,79.4
98,casual-collector,deep-fried|movie-tv|sports,345,78.9
99,casual-collector,history-meme|movie-tv|pet-meme|wojak,337,75.1
100,casual-collector,reaction|sports|history-meme,120,71.5
101,flipper,history-meme|animal,75,53.8
102,casual-collector,deep-fried|stonks-finance,37,68.7
103,power-trader,pet-meme|movie-tv,196,69.9
104,power-trader,wojak|programmer-humor,352,63.0
105,casual-collector,history-meme,217,72.6
106,casual-collector,classic-format|surreal|animal|reaction,233,81.1
107,casual-collector,programmer-humor|surreal|sports|stonks-finance,162,100.0
108,lurker-buyer,stonks-finance|sports|pet-meme|surreal,218,77.6
109,lurker-buyer,movie-tv|wojak|pet-meme|deep-fried,230,78.9
110,casual-collector,sports|programmer-humor,141,73.9
111,lurker-buyer,programmer-humor|animal|political-satire|deep-fried,39,46.2
112,flipper,political-satire|gaming,163,74.6
113,lurker-buyer,wojak,77,75.9
114,casual-collector,pet-meme|animal,32,100.0
115,power-trader,surreal|deep-fried|anime,31,72.1
116,casual-collector,anime|history-meme|stonks-finance|pet-meme,10,79.5
117,lurker-buyer,deep-fried|classic-format|gaming|political-satire,199,74.5
118,lurker-buyer,surreal|pet-meme|sports|movie-tv,308,57.5
119,lurker-buyer,animal|political-satire|anime|deep-fried,14,92.1
120,power-trader,pet-meme|wojak|deep-fried|sports,318,86.3
121,meme-creator,stonks-finance|movie-tv|programmer-humor|classic-format,42,86.9
122,flipper,sports|deep-fried,93,61.4
123,casual-collector,gaming|animal|deep-fried|movie-tv,172,96.0
124,lurker-buyer,political-satire|history-meme|anime|movie-tv,41,54.0
125,power-trader,gaming,114,83.8
126,flipper,history-meme,15,100.0
127,lurker-buyer,sports|classic-format,318,60.1
128,casual-collector,deep-fried|programmer-humor,58,66.5
129,meme-creator,deep-fried|pet-meme,131,76.5
130,lurker-buyer,stonks-finance|movie-tv,58,67.4
131,lurker-buyer,political-satire|reaction,296,51.7
132,casual-collector,stonks-finance|programmer-humor|anime,203,76.0
133,lurker-buyer,reaction|stonks-finance,353,59.1
134,lurker-buyer,reaction|pet-meme,154,82.1
135,lurker-buyer,history-meme,289,61.2
136,lurker-buyer,surreal|anime|programmer-humor,189,98.2
137,casual-collector,classic-format|sports|anime,250,63.3
138,casual-collector,programmer-humor|sports|deep-fried,362,70.2
139,casual-collector,pet-meme|surreal,333,87.2
140,casual-collector,deep-fried|anime|pet-meme|stonks-finance,137,56.5
141,casual-collector,sports|reaction,142,78.4
142,lurker-buyer,history-meme|deep-fried,291,94.6
143,flipper,gaming|classic-format|deep-fried|movie-tv,93,50.9
144,power-trader,history-meme|political-satire|gaming,143,77.8
145,lurker-buyer,surreal|classic-format|movie-tv,97,78.9
146,casual-collector,deep-fried|surreal|history-meme|animal,353,86.7
147,power-trader,deep-fried|history-meme|classic-format|reaction,150,56.4
148,casual-collector,political-satire|programmer-humor,297,55.2
149,power-trader,anime|pet-meme|surreal,169,82.8
150,power-trader,political-satire|movie-tv|sports|animal,61,79.5
151,flipper,reaction|pet-meme|surreal,353,78.8
152,casual-collector,pet-meme|deep-fried,141,80.2
153,flipper,reaction|sports|animal,151,64.8
154,casual-collector,political-satire|classic-format,362,78.5
155,meme-creator,classic-format|movie-tv|surreal,149,79.4
156,flipper,programmer-humor|sports,251,64.3
157,casual-collector,stonks-finance,145,100.0
158,power-trader,gaming|wojak|classic-format|political-satire,244,82.1
159,casual-collector,anime,251,57.1
160,casual-collector,wojak,76,84.8
161,lurker-buyer,reaction|animal|movie-tv,285,60.4
162,lurker-buyer,history-meme|surreal,194,86.8
163,power-trader,political-satire|sports|stonks-finance|anime,156,92.4
164,meme-creator,stonks-finance,50,62.7
165,lurker-buyer,programmer-humor|animal,135,89.5
166,flipper,animal|wojak,282,81.2
167,casual-collector,anime,230,87.3
168,flipper,political-satire|classic-format|animal|movie-tv,361,100.0
169,casual-collector,reaction|programmer-humor|animal|political-satire,320,71.3
170,meme-creator,anime|reaction,278,63.7
171,casual-collector,movie-tv|political-satire,72,61.7
172,casual-collector,history-meme|political-satire,304,62.8
173,flipper,deep-fried|reaction|movie-tv,352,73.8
174,casual-collector,political-satire|surreal|sports|deep-fried,224,80.1
175,casual-collector,movie-tv,221,79.2
176,flipper,classic-format|reaction|animal,345,87.4
177,lurker-buyer,history-meme,344,75.2
178,lurker-buyer,history-meme,89,96.8
179,power-trader,movie-tv|political-satire|wojak|stonks-finance,223,71.0
180,flipper,reaction|deep-fried|gaming|anime,170,100.0
181,casual-collector,sports,82,84.4
182,casual-collector,political-satire|programmer-humor|anime|surreal,18,62.1
183,power-trader,political-satire|gaming|reaction,206,58.9
184,lurker-buyer,programmer-humor,277,82.2
185,power-trader,animal,265,71.6
186,power-trader,programmer-humor|deep-fried|history-meme|classic-format,104,85.7
187,casual-collector,movie-tv|political-satire,224,82.1
188,lurker-buyer,reaction|classic-format|programmer-humor|stonks-finance,122,73.9
189,flipper,surreal|classic-format|movie-tv,208,62.3
190,casual-collector,deep-fried,60,52.3
191,flipper,deep-fried|pet-meme,149,68.3
192,meme-creator,anime|sports|deep-fried,241,87.8
193,casual-collector,anime|animal,306,78.2
194,meme-creator,sports|reaction,141,56.3
195,lurker-buyer,gaming|history-meme|surreal|political-satire,1,77.6
196,casual-collector,sports|stonks-finance|movie-tv,337,80.8
197,power-trader,deep-fried|surreal,247,61.7
198,casual-collector,deep-fried|gaming|animal|pet-meme,122,77.3
199,meme-creator,sports|history-meme,210,75.9
200,casual-collector,pet-meme|history-meme|anime|sports,339,57.9
201,lurker-buyer,deep-fried|classic-format,64,80.4
202,meme-creator,sports|reaction|deep-fried,51,83.4
203,meme-creator,classic-format|pet-meme|wojak|anime,335,91.2
204,lurker-buyer,deep-fried,135,90.8
205,casual-collector,programmer-humor|reaction|gaming|movie-tv,273,54.3
206,power-trader,programmer-humor|pet-meme|history-meme,249,60.9
207,lurker-buyer,stonks-finance,35,82.7
208,casual-collector,animal|pet-meme|reaction,222,82.7
209,lurker-buyer,deep-fried,85,82.7
210,flipper,classic-format,166,100.0
211,lurker-buyer,gaming|movie-tv|anime,74,83.6
212,casual-collector,stonks-finance|programmer-humor|history-meme|wojak,87,92.0
213,casual-collector,stonks-finance|programmer-humor|animal|deep-fried,298,89.3
214,casual-collector,programmer-humor|political-satire|deep-fried|sports,341,84.8
215,casual-collector,movie-tv|political-satire|programmer-humor|surreal,80,70.3
216,casual-collector,stonks-finance|political-satire|programmer-humor,217,86.4
217,flipper,sports|political-satire|animal|anime,247,63.4
218,casual-collector,stonks-finance|gaming|movie-tv|political-satire,358,71.4
219,casual-collector,political-satire|classic-format|stonks-finance|programmer-humor,25,67.7
220,lurker-buyer,sports|political-satire|history-meme|animal,310,76.2
221,lurker-buyer,programmer-humor|animal,317,100.0
222,casual-collector,programmer-humor|reaction,321,47.0
223,flipper,history-meme|deep-fried|classic-format,296,85.3
224,power-trader,reaction|political-satire,167,50.8
225,flipper,animal|wojak,276,67.9
226,lurker-buyer,surreal|movie-tv|political-satire,84,91.3
227,casual-collector,history-meme|political-satire|pet-meme|gaming,58,76.0
228,power-trader,wojak,115,58.8
229,lurker-buyer,sports|history-meme|surreal|gaming,46,64.3
230,lurker-buyer,political-satire,274,85.2
231,casual-collector,programmer-humor|pet-meme|movie-tv,134,64.0
232,meme-creator,reaction|programmer-humor|animal,241,78.2
233,casual-collector,movie-tv|stonks-finance|animal,331,75.7
234,casual-collector,movie-tv|pet-meme|political-satire|programmer-humor,209,65.2
235,casual-collector,classic-format,155,100.0
236,lurker-buyer,reaction,120,84.5
237,lurker-buyer,anime|deep-fried,189,44.6
238,flipper,stonks-finance|pet-meme|sports|wojak,212,77.8
239,flipper,stonks-finance|anime|political-satire|classic-format,353,65.1
240,power-trader,deep-fried|animal|gaming|reaction,351,87.8
241,power-trader,classic-format|anime|political-satire,97,63.1
242,lurker-buyer,reaction|programmer-humor|animal|sports,327,73.3
243,meme-creator,classic-format,170,82.6
244,casual-collector,history-meme|stonks-finance,105,88.0
245,casual-collector,stonks-finance|animal,119,57.0
246,casual-collector,history-meme|stonks-finance,1,70.0
247,casual-collector,wojak|surreal,128,67.9
248,lurker-buyer,programmer-humor,13,65.2
249,casual-collector,history-meme|movie-tv|animal,301,100.0
250,casual-collector,political-satire|classic-format,64,81.1
251,flipper,pet-meme,32,56.1
252,power-trader,surreal|stonks-finance|reaction,231,88.8
253,meme-creator,pet-meme,337,100.0
254,meme-creator,programmer-humor|classic-format|sports|deep-fried,205,90.5
255,power-trader,deep-fried,364,52.2
256,lurker-buyer,movie-tv,41,67.7
257,casual-collector,reaction|wojak,140,94.0
258,flipper,anime|stonks-finance|surreal,150,64.4
259,power-trader,reaction|history-meme|pet-meme|movie-tv,335,81.7
260,flipper,anime|deep-fried,116,86.6
261,power-trader,anime|movie-tv|pet-meme|reaction,160,61.1
262,power-trader,gaming|wojak|programmer-humor,242,74.1
263,casual-collector,reaction,221,26.4
264,casual-collector,history-meme|wojak|surreal,30,59.6
265,meme-creator,programmer-humor|reaction|anime,181,71.2
266,lurker-buyer,sports|pet-meme|classic-format|political-satire,307,56.3
267,casual-collector,stonks-finance,259,99.5
268,casual-collector,animal|sports|reaction|gaming,284,53.5
269,power-trader,stonks-finance|animal|history-meme,219,68.4
270,lurker-buyer,stonks-finance,336,77.0
271,lurker-buyer,classic-format|wojak|political-satire,359,96.6
272,lurker-buyer,gaming|classic-format|wojak,73,53.5
273,meme-creator,reaction|wojak|pet-meme|programmer-humor,15,92.4
274,casual-collector,anime|movie-tv,232,75.2
275,casual-collector,political-satire|pet-meme|gaming,290,60.3
276,meme-creator,wojak,80,81.9
277,lurker-buyer,programmer-humor,41,78.0
278,casual-collector,deep-fried|stonks-finance|movie-tv|anime,139,66.0
279,casual-collector,gaming,220,76.0
280,casual-collector,surreal|programmer-humor|political-satire|classic-format,112,69.2
281,power-trader,classic-format,104,76.7
282,casual-collector,history-meme|wojak,130,84.9
283,casual-collector,classic-format,254,98.8
284,flipper,wojak|anime,272,56.4
285,flipper,reaction|anime|pet-meme,21,100.0
286,power-trader,movie-tv|reaction|gaming|stonks-finance,219,45.7
287,meme-creator,political-satire|reaction|anime|classic-format,166,72.7
288,casual-collector,sports|pet-meme|gaming|reaction,223,83.8
289,lurker-buyer,anime|stonks-finance,205,79.2
290,meme-creator,sports|political-satire|pet-meme|gaming,113,65.7
291,casual-collector,reaction|surreal,324,71.9
292,casual-collector,movie-tv|history-meme,178,67.6
293,power-trader,animal|reaction,74,66.2
294,casual-collector,stonks-finance|wojak,335,87.7
295,casual-collector,deep-fried|history-meme|stonks-finance|sports,229,80.4
296,flipper,sports|programmer-humor|gaming,77,64.6
297,power-trader,deep-fried|programmer-humor|political-satire|history-meme,302,88.5
298,casual-collector,political-satire,236,79.6
299,power-trader,gaming,146,87.2
300,casual-collector,stonks-finance,304,84.4
301,meme-creator,stonks-finance|surreal|history-meme|pet-meme,21,62.6
302,power-trader,gaming|stonks-finance,243,66.6
303,meme-creator,deep-fried,52,86.2
304,lurker-buyer,pet-meme|reaction|surreal,330,84.2
305,casual-collector,pet-meme|deep-fried,224,74.7
306,meme-creator,gaming|movie-tv,144,76.8
307,power-trader,programmer-humor|stonks-finance|classic-format,323,94.2
308,flipper,gaming,48,66.1
309,meme-creator,political-satire|movie-tv|pet-meme|programmer-humor,308,83.2
310,lurker-buyer,reaction|stonks-finance|programmer-humor,72,72.0
311,lurker-buyer,programmer-humor|pet-meme|movie-tv,200,71.7
312,casual-collector,political-satire,286,91.5
313,power-trader,sports|wojak|programmer-humor,359,87.4
314,lurker-buyer,programmer-humor,343,87.2
315,power-trader,classic-format|gaming|political-satire,92,94.6
316,lurker-buyer,history-meme|deep-fried|animal,115,75.3
317,lurker-buyer,reaction|political-satire,51,85.2
318,meme-creator,programmer-humor,172,70.3
319,lurker-buyer,stonks-finance|anime,78,79.9
320,casual-collector,pet-meme|deep-fried,22,73.0
321,power-trader,deep-fried|stonks-finance,145,76.5
322,lurker-buyer,animal|surreal|movie-tv|political-satire,240,83.9
323,lurker-buyer,gaming|programmer-humor,292,62.7
324,lurker-buyer,history-meme|political-satire|movie-tv|anime,257,100.0
325,meme-creator,sports|animal,309,59.9
326,casual-collector,classic-format|programmer-humor|deep-fried,190,56.8
327,meme-creator,pet-meme,264,92.4
328,lurker-buyer,reaction|history-meme|wojak,139,86.9
329,power-trader,sports|anime,46,84.4
330,lurker-buyer,sports|deep-fried,178,84.4
331,lurker-buyer,classic-format|anime|surreal|gaming,120,74.8
332,power-trader,gaming,114,61.5
333,casual-collector,sports,365,76.1
334,flipper,wojak|classic-format,146,64.8
335,lurker-buyer,pet-meme|sports|wojak|movie-tv,240,89.6
336,power-trader,movie-tv,40,72.8
337,casual-collector,sports|wojak,280,62.6
338,lurker-buyer,reaction|history-meme|political-satire|animal,154,70.2
339,casual-collector,anime|programmer-humor,318,81.2
340,power-trader,sports,255,66.5
341,meme-creator,programmer-humor,263,62.7
342,meme-creator,political-satire|anime,0,78.7
343,flipper,stonks-finance|anime,95,78.7
344,flipper,surreal,184,67.4
345,casual-collector,anime,240,67.9
346,casual-collector,gaming|political-satire|pet-meme|classic-format,182,78.5
347,lurker-buyer,animal|pet-meme|programmer-humor,321,53.3
348,casual-collector,wojak|classic-format|gaming,279,53.9
349,casual-collector,sports|history-meme,350,64.2
350,power-trader,programmer-humor|wojak|history-meme|sports,32,71.8
351,flipper,classic-format|political-satire|animal|movie-tv,102,79.7
352,lurker-buyer,movie-tv|political-satire|surreal,203,97.1
353,lurker-buyer,political-satire|classic-format|history-meme|programmer-humor,97,87.9
354,casual-collector,sports,335,72.6
355,casual-collector,history-meme,188,74.7
356,power-trader,pet-meme|deep-fried|anime|gaming,95,60.0
357,power-trader,gaming|history-meme|surreal|political-satire,42,74.7
358,flipper,anime,308,70.7
359,lurker-buyer,surreal|political-satire,164,79.8
360,casual-collector,programmer-humor|political-satire|sports,228,62.6
361,flipper,wojak|pet-meme|deep-fried|gaming,228,82.8
362,casual-collector,stonks-finance|anime|political-satire,327,98.0
363,lurker-buyer,reaction,343,73.4
364,flipper,surreal|history-meme|pet-meme,347,81.0
365,casual-collector,wojak,311,85.4
366,flipper,classic-format|wojak|reaction|animal,330,69.0
367,power-trader,stonks-finance|classic-format|movie-tv|wojak,347,78.4
368,power-trader,gaming|deep-fried|history-meme,39,75.2
369,meme-creator,anime|gaming|programmer-humor,142,76.5
370,casual-collector,classic-format,95,63.4
371,power-trader,movie-tv|surreal|reaction|political-satire,133,75.4
372,flipper,stonks-finance|political-satire,355,82.5
373,lurker-buyer,animal|reaction|wojak|sports,231,96.8
374,casual-collector,reaction|history-meme|programmer-humor|gaming,341,89.4
375,casual-collector,surreal,277,100.0
376,casual-collector,sports|wojak|pet-meme,363,63.5
377,lurker-buyer,history-meme|gaming,260,88.1
378,casual-collector,history-meme|wojak,121,77.8
379,lurker-buyer,gaming,283,100.0
380,meme-creator,history-meme|surreal|wojak|stonks-finance,44,62.9
381,casual-collector,pet-meme|movie-tv|deep-fried|surreal,210,62.4
382,lurker-buyer,wojak,162,66.0
383,flipper,deep-fried|programmer-humor|surreal|gaming,65,43.1
384,lurker-buyer,history-meme|wojak,221,67.1
385,meme-creator,sports,63,63.6
386,meme-creator,wojak|movie-tv|gaming,363,77.3
387,casual-collector,sports|reaction|political-satire,100,80.1
388,flipper,wojak|programmer-humor|political-satire,314,100.0
389,meme-creator,stonks-finance|movie-tv,78,89.3
390,casual-collector,sports|stonks-finance|classic-format,14,66.3
391,casual-collector,programmer-humor|animal|history-meme,292,61.5
392,power-trader,deep-fried,321,82.4
393,meme-creator,deep-fried|animal|history-meme,350,55.2
394,power-trader,reaction|pet-meme|classic-format|wojak,225,100.0
395,power-trader,animal|gaming|stonks-finance|wojak,160,92.7
396,lurker-buyer,pet-meme|sports|gaming,204,68.0
397,casual-collector,surreal|movie-tv|reaction,163,49.3
398,casual-collector,political-satire,230,95.3
399,casual-collector,classic-format,148,73.3
400,lurker-buyer,animal|sports|wojak|gaming,295,93.6
401,flipper,history-meme|wojak,255,51.1
402,lurker-buyer,deep-fried|political-satire|movie-tv|classic-format,46,66.0
403,lurker-buyer,animal|movie-tv|stonks-finance|gaming,24,75.1
404,casual-collector,stonks-finance|sports|programmer-humor|history-meme,240,75.7
405,casual-collector,sports,55,68.2
406,power-trader,pet-meme|gaming|history-meme,206,84.3
407,power-trader,classic-format|stonks-finance|surreal|animal,185,59.0
408,meme-creator,anime,258,72.9
409,power-trader,sports|stonks-finance|programmer-humor,312,76.8
410,casual-collector,anime,191,82.7
411,lurker-buyer,surreal|gaming|history-meme,73,85.7
412,casual-collector,surreal|classic-format|sports|history-meme,70,58.1
413,flipper,surreal|deep-fried|wojak|stonks-finance,263,52.0
414,casual-collector,wojak|anime|stonks-finance,153,94.2
415,meme-creator,pet-meme|stonks-finance|political-satire|deep-fried,8,80.0
416,power-trader,anime,298,63.8
417,casual-collector,stonks-finance,242,98.3
418,casual-collector,pet-meme|classic-format,298,76.7
419,power-trader,wojak|sports|programmer-humor|animal,16,92.7
420,meme-creator,animal,9,76.0
421,power-trader,wojak|anime|pet-meme|animal,210,100.0
422,meme-creator,sports|movie-tv|pet-meme|history-meme,31,100.0
423,flipper,surreal|gaming,339,71.3
424,power-trader,gaming|wojak|deep-fried|surreal,175,89.6
425,meme-creator,stonks-finance|deep-fried|animal,126,84.7
426,casual-collector,animal|political-satire|history-meme,147,95.5
427,flipper,gaming|deep-fried|movie-tv|surreal,140,60.5
428,casual-collector,movie-tv|anime|gaming|wojak,148,85.3
429,casual-collector,gaming,226,90.9
430,flipper,animal|movie-tv|surreal|political-satire,287,48.6
431,flipper,reaction|stonks-finance,300,57.3
432,casual-collector,programmer-humor,271,44.4
433,casual-collector,classic-format|reaction,211,71.0
434,casual-collector,reaction|programmer-humor|history-meme|wojak,2,85.8
435,lurker-buyer,anime|programmer-humor,243,97.5
436,power-trader,history-meme|political-satire,164,76.1
437,casual-collector,movie-tv,45,99.4
438,flipper,surreal|pet-meme,19,54.3
439,lurker-buyer,anime|sports,90,49.4
440,lurker-buyer,sports,203,74.2
441,lurker-buyer,movie-tv|pet-meme,148,80.8
442,lurker-buyer,political-satire,290,74.5
443,flipper,political-satire|deep-fried|programmer-humor,278,44.0
444,meme-creator,sports|surreal,239,73.7
445,casual-collector,gaming,83,55.4
446,flipper,pet-meme|wojak|classic-format,172,85.0
447,lurker-buyer,wojak|stonks-finance,327,80.5
448,lurker-buyer,surreal|gaming|reaction|anime,342,60.9
449,casual-collector,deep-fried|gaming,127,67.3
450,casual-collector,animal|deep-fried|history-meme|political-satire,168,59.1
451,casual-collector,political-satire,334,74.1
452,power-trader,classic-format|programmer-humor,60,89.3
453,power-trader,anime|programmer-humor,257,60.2
454,lurker-buyer,pet-meme|reaction|programmer-humor,151,82.6
455,power-trader,animal|wojak,244,67.0
456,casual-collector,anime|pet-meme|surreal,241,63.1
457,lurker-buyer,history-meme|animal,348,73.4
458,lurker-buyer,surreal,228,59.5
459,meme-creator,reaction|stonks-finance|movie-tv,31,66.7
460,lurker-buyer,stonks-finance|surreal,76,57.0
461,casual-collector,reaction|programmer-humor|animal|pet-meme,298,100.0
462,power-trader,history-meme|classic-format|deep-fried|wojak,262,75.5
463,power-trader,surreal,236,64.5
464,flipper,pet-meme|classic-format|anime,130,78.2
465,lurker-buyer,stonks-finance|reaction,23,73.3
466,power-trader,surreal,30,71.7
467,lurker-buyer,movie-tv,241,84.2
468,casual-collector,wojak|history-meme|movie-tv|programmer-humor,330,86.4
469,lurker-buyer,movie-tv|anime|deep-fried,193,67.0
470,power-trader,programmer-humor|sports,178,66.4
471,casual-collector,surreal|wojak|pet-meme|animal,1,70.9
472,lurker-buyer,deep-fried|programmer-humor|pet-meme,278,40.5
473,power-trader,sports|animal|movie-tv|deep-fried,177,52.3
474,casual-collector,movie-tv|pet-meme,57,95.5
475,casual-collector,stonks-finance|history-meme|classic-format|animal,105,99.7
476,casual-collector,deep-fried,306,71.3
477,flipper,animal,22,83.6
478,power-trader,surreal|animal,28,79.7
479,casual-collector,animal|sports|pet-meme,294,100.0
480,casual-collector,animal|political-satire|wojak,338,91.8
481,meme-creator,political-satire|movie-tv|classic-format|surreal,302,73.1
482,lurker-buyer,programmer-humor|movie-tv,218,60.7
483,meme-creator,gaming,329,50.9
484,flipper,pet-meme|anime|sports,76,78.1
485,casual-collector,history-meme|surreal,242,63.7
486,casual-collector,political-satire|sports,362,53.7
487,casual-collector,movie-tv|classic-format|surreal|anime,213,65.3
488,meme-creator,anime|animal,130,58.8
489,casual-collector,movie-tv,230,100.0
490,lurker-buyer,surreal,97,88.2
491,casual-collector,programmer-humor|stonks-finance|sports|classic-format,37,74.9
492,casual-collector,deep-fried|animal,170,97.2
493,casual-collector,animal,97,76.2
494,lurker-buyer,pet-meme,245,62.1
495,lurker-buyer,anime|animal,282,97.8
496,casual-collector,anime|deep-fried|surreal,332,83.1
497,power-trader,gaming|surreal|deep-fried,238,59.4
498,casual-collector,history-meme|sports|gaming|animal,189,72.1
499,casual-collector,stonks-finance,113,61.9
500,flipper,political-satire,283,54.3
